Nom;Code(s) UIC
Halsou - Larressore;87673640
Halte de Fontanil – Lycée de Drap;87565143
Haluchère Batignolles;87590331
Ham;87313494
Ham-en-Artois;87342261
Hangest-sur-Somme;87313114
Harfleur;87413302
Harfleur Halte;87413708
Hargicourt - Pierrepont;87313338
Hatrize;87192724
Haubourdin;87286096
Haussmann Saint-Lazare;87281899
Haute Picardie TGV;87313882
Hautmont;87295568
Hayange;87191239
Haybes;87172106
Hazebrouck;87286302
Heiligenberg - Mollkirch;87214627
Heilles - Mouchy;87316398
Heilly;87316059
Hellemmes;87286062
Hendaye;87677005
Hénin-Beaumont;87345157
Hennebont;87476259
Herbitzheim;87193672
Herblay;87381889
Herchies;87313692
Héricourt;87184507
Héricy;87682435
Hermes - Berthecourt;87313585
Herny;87193383
Herrlisheim;87212340
Herrlisheim-près-Colmar;87182329
Hesdigneul-lès-Boulogne;87317107
Hesdin;87317222
Hettange-Grande;87191163
Hirson;87295063
Hirson Écoles;87324335
Hochfelden;87212167
Hoelschloch;87213413
Hoenheim Tram;87338517
Hoerdt;87213686
Hoffen;87213447
Hombourg-Haut;87193276
Homécourt;87191692
Houdan;87393462
Houdemont;87141473
Houilles - Carrières-sur-Seine;87386409
Houlgate;87444406
Hundling;87193540
Hunspach;87213454
Huriel;87641217
Hyères;87755629
Hymont - Mattaincourt;87144220
Igney;87144089
Igney - Avricourt;87215103
Igny;87393561
Ille-sur-Têt;87784561
Illfurth;87182204
Illiers-Combray;87394437
Imphy;87696450
Ingersheim - Cité Scolaire;87303875
Ingrandes sur Vienne;87575134
Ingrandes-Le Fresne-sur-Loire;87484360
Ingwiller;87213785
Invalides;87393033
Irigny Yvours;87722249
Is-sur-Tille;87713859
Isbergues;87342279
Isles - Armentières - Congis;87116616
Issé;87481622
Issoire;87734202
Issou - Porcheville;87381574
Issoudun;87597062
Issy Val de Seine;87393306
Issy-les-Moulineaux;87393074
Istres;87753418
Iteuil;87577403
Itxassou;87673665
Ivry-sur-Seine;87545301
Iwuy;87345397
Jacques Monod la Demi-Lieue;87413716
Janzé;87471334
Jarnac;87491472
Jarrie - Vizille;87747535
Jarville-la-Malgrange;87141010
Jassonneix;87594085
Jaunay-Clan;87575217
Jaux;87272013
Javel;87393066
Jeumont;87295014
Jœuf;87191700
Joigny;87683243
Joigny-sur-Meuse;87172031
Joinville;87175091
Joncet;87784710
Joncherey;87700153
